id,category,score,reasons
imm-045,imm,50,repeated pool distractor (17×) | repeated pool distractor (10×) | repeated pool distractor (12×) | thin stem | thin explanation
imm-065,imm,50,repeated pool distractor (10×) | repeated pool distractor (12×) | repeated pool distractor (12×) | thin explanation | very thin explanation
hab-011,hab,50,repeated pool distractor (14×) | repeated pool distractor (10×) | thin stem | thin explanation | very thin explanation
hab-013,hab,50,repeated pool distractor (10×) | repeated pool distractor (14×) | repeated pool distractor (13×) | thin explanation | very thin explanation
xc-010,imm,50,repeated pool distractor (10×) | repeated pool distractor (12×) | repeated pool distractor (16×) | thin explanation | very thin explanation
just-018,just,51,short distractor (19) | length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest
erie-033,erie,51,repeated pool distractor (10×) | overused pool distractor (18×) | repeated pool distractor (14×)
just-062,just,52,short distractor (19) | short distractor (19) | thin explanation | very thin explanation
fqj-065,fqj,52,short distractor (19) | short distractor (19) | repeated pool distractor (10×) | thin explanation
erie-032,erie,52,short distractor (17) | repeated pool distractor (10×) | thin stem | thin explanation
imm-008,imm,52,short distractor (18) | length-tell: correct > 2.6x shortest | repeated pool distractor (12×) | repeated pool distractor (12×)
erie-023,erie,53,short distractor (16) | repeated pool distractor (16×) | repeated pool distractor (11×) | thin explanation
erie-038,erie,53,short distractor (21) | repeated pool distractor (14×) | thin explanation | very thin explanation
roa-067,roa,53,short distractor (15) | repeated pool distractor (14×) | repeated pool distractor (14×) | thin explanation
just-020,just,54,length-tell: correct >> shortest distractor | length-tell: correct > 2.6x shortest
just-063,just,54,short distractor (16) | short distractor (19) | length-tell: correct > 2.6x shortest
just-070,just,54,short distractor (21) | short distractor (17) | length-tell: correct > 2.6x shortest
erie-055,erie,54,repeated pool distractor (11×) | overused pool distractor (18×) | thin explanation
xc-019,hab,54,length-tell: correct > 2.6x shortest | repeated pool distractor (13×) | repeated pool distractor (12×) | thin explanation
just-033,just,55,short distractor (17) | short distractor (20) | thin stem
cong-011,cong,55,short distractor (20) | short distractor (18) | short distractor (18)
cong-014,cong,55,short distractor (16) | short distractor (18) | short distractor (17)

fqj-039,fqj,audit2,grammar mismatch (2)
scsr-002,scsr,audit2,grammar mismatch (2)
scsr-029,scsr,audit2,grammar mismatch (2)
roa-008,roa,audit2,grammar mismatch (2)
hab-015,hab,audit2,grammar mismatch (2)
