id,category,difficulty,stem,opt_a,opt_b,opt_c,opt_d,correct,case,rule_id,prong,explanation,tags,daily_eligible
scsr-101,scsr,3,A state supreme court holds that police conduct violated 'the Fourth Amendment and analogous state-constitutional principles.' The opinion does not specify which provision controls. The U.S. Supreme Court should:,Vacate and remand for clarification of state-law basis,Decline review under the adequate-and-independent state ground doctrine,Presume federal-law reliance and review under Michigan v. Long,Apply ordinary appellate review without inquiring into the basis,c,michigan-long,mich-long,a-and-i,"Michigan v. Long created a bright-line presumption: where the opinion fairly appears to rest on federal law and is not clearly independent, the Court will review.",michigan-long;hypo,true
scsr-102,scsr,3,"A state court holds that a defendant's confession was inadmissible 'under both the Fifth Amendment and Article I, § 7 of our state constitution, which we have long interpreted as more protective.' The U.S. Supreme Court should:",Review under Michigan v. Long's presumption,Review only the federal portion of the opinion,Decline review because the state-constitutional ground is adequate and independent,Vacate and remand for clarification,c,fox-films,,a-and-i,An explicit invocation of an independent state ground that fully supports the result bars federal review under Fox Films/Long.,a-and-i;hypo,false
scsr-103,scsr,2,Murdock v. Memphis stands for the proposition that the Supreme Court's appellate review of state-court judgments:,Extends to all errors in the state court's reasoning,Is generally limited to the federal-law questions in the case,Is unavailable absent express congressional authorization,Includes review of state-law antecedent issues unless waived,b,murdock,,,Murdock established that the federal Supreme Court reviews only federal-law questions on appeal from state courts; state-law issues are not reviewable.,murdock,false
scsr-104,scsr,3,"A defendant raises a federal constitutional issue for the first time in his petition for certiorari to the U.S. Supreme Court, having waived it below. The Court should:",Review because waiver is not adequate to bar federal review,Decline review under Cardinale absent extraordinary preservation circumstances,Review and remand to state court for first-instance consideration,Apply plain-error review of the unpreserved federal claim,b,cardinale,,,Cardinale v. Louisiana requires federal claims be raised below; failure to preserve generally bars Supreme Court review.,cardinale;preservation,false
scsr-105,scsr,4,"A state-court rule provides that 'cases involving federal civil rights claims shall be filed exclusively in the federal preferred division,' which has limited capacity. A § 1983 plaintiff sues in regular state court and is dismissed under this rule. The dismissal:",Is preempted because state courts cannot decline § 1983 jurisdiction,Is permissible only if Congress expressly authorized concurrent jurisdiction,Is permissible as a neutral state procedural rule,Is preempted under Haywood v. Drown because the rule discriminates against federal claims,d,haywood,,,Haywood v. Drown invalidated a similar New York rule because seemingly neutral procedural rules cannot discriminate against federal claims under Testa/Mondou principles.,haywood;hypo,false
scsr-106,scsr,4,"A state court applies its outcome-determinative state contributory-negligence rule in a FELA case, defeating recovery under federal law. Under Dice v. Akron:",The state rule applies because FELA does not address contributory negligence,The state rule is preempted because it defeats federal substantive policy,The state rule applies because procedural rules are matters of state law,The state rule is preempted only if applied in federal court,b,dice,,,Dice held that state procedural rules that defeat federal substantive policy are preempted in state-court actions on federal claims.,dice;hypo,false
scsr-107,scsr,4,A teacher claims a state law impaired her contract under the federal Contracts Clause; the state court holds no contract was formed under state law. The U.S. Supreme Court may:,Review the state-law contract question because it is antecedent to the federal right,Defer entirely to the state-court interpretation of state contract law,Decline review under Murdock,Review only the Contracts Clause question on the assumption that no contract existed,a,brand,,,"Indiana ex rel. Anderson v. Brand: where state-law antecedents determine federal rights, the Supreme Court may review the antecedent question.",brand;antecedent,false
scsr-108,scsr,4,Why is a federal statute requiring state courts to entertain certain federal claims NOT considered an unconstitutional commandeering of state officials?,State courts are not part of the executive or legislative branches and routinely apply governing law,Article VI's Supremacy Clause expressly authorizes commandeering of judges,State court judges are federal officers under the Constitution,Anti-commandeering applies only to administrative agencies,a,ferc-ms,,,"FERC v. Mississippi reasoned that state courts have always been required to enforce federal law as part of their adjudicative function; anti-commandeering protects political branches, not adjudicators.",commandeering;ferc,false
erie-101,erie,1,"Erie R.R. v. Tompkins held that, in diversity cases, federal courts must apply:",Federal general common law of commercial transactions,Federal common law unless Congress directs otherwise,The law of the forum state's procedural rules but federal substantive common law,"State substantive law, including state common law",d,erie,,,Brandeis: there is no federal general common law in diversity. State substantive law controls (subject to federal common law in narrow enclaves).,erie;black-letter,false
erie-102,erie,3,"Under Hanna v. Plumer, when an FRCP rule conflicts with state law:",The federal rule applies if it is a valid exercise of the Rules Enabling Act,The state rule applies if its violation would be outcome-determinative,"The court applies state law for substantive issues, federal law for procedural",The court applies whichever rule produces the more uniform outcome,a,,,,Hanna's two-track framework: REA-authorized FRCP rules govern conflicts with state law; the Erie/York outcome-determinative test applies only to UNGUIDED choices (where no FRCP applies).,hanna;rules,false
erie-103,erie,3,Clearfield Trust v. United States articulated a two-step framework for federal common law: power and discretion. The 'power' question asks:,Whether Congress has expressly authorized federal common-lawmaking,Whether the case implicates a federal interest sufficient to displace state law,Whether the parties have consented to federal-law application,Whether Article III provides jurisdiction over the dispute,b,clearfield,fcl-test,,Clearfield: (1) Power — is there a federal interest sufficient to displace state law? (2) Discretion — should the court adopt a uniform federal rule or borrow state law?,clearfield;test,false
erie-104,erie,4,"A government contractor faces a state-law product-liability suit alleging defective helicopter design. Under Boyle, the contractor's federal-common-law defense requires:","Reasonably precise government specifications, conformance with them, and warning of dangers known to the contractor",That the contractor be a federal employee or agency,That the FTCA expressly authorize the defense,That the contract include an indemnity clause,a,boyle,,,Boyle's three-part test for federal-common-law preemption of state tort law in defense procurement.,boyle;test,true
erie-105,erie,3,"When a federal statute creates a federal cause of action but is silent on a particular issue (e.g., statute of limitations), the federal court may:",Apply federal common law uniformly under Clearfield,Apply the most analogous federal-law rule from a related statute,Decline to fill the gap and certify the question to the state supreme court,Adopt state law as the federal rule unless uniformity is essential to federal interests,d,kimbell,,,"Kimbell Foods: where federal interest does not require uniformity, courts borrow state law as the federal rule, avoiding disruption of commercial expectations.",kimbell;borrow,false
erie-106,erie,3,Banco Nacional v. Sabbatino held that the act-of-state doctrine is governed by:,"International law, applied as part of the law of nations","State law of the forum, under Erie's diversity command","Federal statute, specifically the Hickenlooper Amendment alone","Federal common law, given the strong federal interest in foreign relations",d,sabbatino,,,"Sabbatino treated foreign-relations questions as a federal-common-law enclave, given the unique federal interest.",sabbatino;foreign-relations,false
erie-107,erie,4,Federal common law is most clearly justified as a 'delegation' from Congress (rather than as preemptive of state law) when:,Congress grants jurisdiction over a regulatory scheme expecting courts to develop interstitial rules,The matter falls within Article III admiralty jurisdiction,The federal interest is so dominant that state law would frustrate national policy,The Constitution directly assigns the matter to federal courts,a,lincoln-mills,,,"Textile Workers v. Lincoln Mills illustrates delegated federal common-lawmaking — Congress's grant of jurisdiction implicitly authorized interstitial rule development. Preemptive FCL (b) and inherent FCL (c, d) operate on different rationales.",lincoln-mills;fcl,false
erie-108,erie,4,Texas Industries v. Radcliff Materials shows that federal common law:,Always operates to remedy gaps in federal statutory schemes,"Requires a constitutional, not statutory, anchor",Yields to state law whenever Erie's twin aims are implicated,Will not be invented to fill gaps in a comprehensive federal statute absent strong evidence of need,d,,,,Texas Industries declined to recognize an implied federal right of contribution under the Sherman Act — the Court is reluctant to expand FCL absent clear federal interest and need.,texas-industries,false
erie-109,erie,4,Erie's constitutional rationale rests in part on legal positivism — the view that:,Common law is uniform across states absent explicit divergence,Federal courts may freely declare law in diversity cases,State courts and federal courts are interchangeable in diversity,"Law must trace to a sovereign source, and there is no general common-law sovereign",d,erie,,,"Brandeis' Erie opinion treats Swift's 'general law' as incoherent under modern positivism — without a sovereign source, there can be no law.",erie;positivism,false
erie-110,erie,4,The United States issues a treasury check to a payee who later loses it; a stranger forges the endorsement and cashes it at a bank. The U.S. sues the bank to recover. The applicable rule of decision:,Is the law of the state where the check was negotiated,Depends on whether the U.S. has waived sovereign immunity in commercial transactions,Is uniform federal law authorized by the Federal Reserve Act,Is federal common law because of strong federal interest in U.S. commercial paper,d,clearfield,,,Classic Clearfield Trust scenario. Federal interest in uniform U.S. commercial transactions justifies federal common-lawmaking.,clearfield;hypo,false
erie-111,erie,3,"Erie's twin aims, articulated in Hanna, include:",Preserving state sovereignty and ensuring federal supremacy,Respecting Article III limits and preserving Article I powers,Discouraging forum shopping and avoiding inequitable administration of laws,Promoting uniformity and protecting the right to a jury,c,,,,Hanna's framing: Erie aims to prevent forum-shopping advantages from driving plaintiffs to federal court and to avoid arbitrary differences in litigation outcomes.,hanna;twin-aims,false
erie-112,erie,4,Miree v. DeKalb County held that state law (not federal common law) governs:,Tort claims arising on federal land,A private dispute over an FAA grant condition where the U.S. is not a party and federal interest is incidental,Any contract entered into by a state municipality,A federal-grants dispute where the U.S. is a party,b,miree,,,"Miree limited the FCL enclave: where federal interest is merely incidental and parties are private, state law applies under Erie.",miree;fcl,false
roa-101,roa,3,"Under Alexander v. Sandoval, an implied private right of action exists only when:",The plaintiff is a member of the class the statute was designed to benefit,The legislative history convincingly suggests Congressional intent,The cause of action is consistent with the statute's overall remedial purpose,The statutory text and structure show Congress intended to create both a right and a remedy,d,sandoval,sandoval-proa,,Sandoval rejected the older purposivist approach (Cort v. Ash) in favor of strict textual/structural analysis: only Congress can create rights of action.,sandoval;test,false
roa-102,roa,4,An agency promulgates regulations interpreting a federal statute to prohibit disparate-impact discrimination. Under Sandoval:,The agency's regulations control because of Chevron deference,The agency cannot create a private right of action where the statute does not,Private parties may sue under the regulations if the agency expressly so authorizes,Private parties may sue if the regulations are 'rights-creating',b,sandoval,sandoval-proa,,"Sandoval held that only Congress, not an agency, can confer a private right of action; the disparate-impact regulations themselves cannot supply standing where the statutory text does not.",sandoval;agency,false
roa-103,roa,4,Title IX includes an implied private right of action for intentional discrimination after Cannon v. University of Chicago. Sandoval narrowed this by holding:,Title IX no longer supports any implied right of action,Title IX private suits may now proceed only as official-capacity claims,"The Cannon factors are repudiated, but Title IX's PROA remains as stare decisis",Disparate-impact claims under Title VI/IX regulations lack a private right of action,d,sandoval,,,"Cannon's holding for intentional discrimination remains good law; Sandoval limited PROA to that category, leaving disparate-impact regulatory claims without a private right.",sandoval;cannon,false
roa-104,roa,2,Bivens v. Six Unknown Named Agents recognized:,An implied damages remedy for Fourth Amendment violations by federal officers,The right to seek injunctive relief against unconstitutional federal action,A federal cause of action equivalent to § 1983 against federal officers,Sovereign-immunity waiver for damages against the federal government for tort claims,a,bivens,,,Bivens' narrow holding: damages remedy implied directly from the Fourth Amendment for federal-officer violations.,bivens;black-letter,false
roa-105,roa,3,Davis v. Passman extended Bivens to:,A First Amendment retaliation claim by a federal civil servant,A Fifth Amendment gender-discrimination claim by a Congressional staffer,A Fourth Amendment search claim outside the home,An Eighth Amendment medical-care claim by a federal prisoner,b,davis,,,"Davis extended Bivens because Title VII expressly excluded Congressional staff, leaving plaintiff with no alternative remedy. Carlson covered (b); Bush rejected (c).",davis;bivens,false
roa-106,roa,3,Bush v. Lucas declined to recognize a Bivens remedy for First Amendment retaliation by a federal supervisor because:,Congress had specifically barred Bivens actions in this context,The civil-service remedial scheme provided an adequate alternative,"Government employment is a privilege, not a right",The First Amendment is not self-executing,b,bush-lucas,,,"Bush began the Court's retreat from Bivens — adequate alternative remedies (here, civil-service review) defeat extension.",bush-lucas;alternative,false
roa-107,roa,4,Egbert v. Boule's two-step is best understood as:,An overruling of Bivens for Fourth Amendment claims,"A reaffirmation of Bivens, Davis, and Carlson with broader application",A narrowing of the special-factors analysis to military and national-security cases,A collapsed test where any rational reason for Congressional preference defeats Bivens extension,d,egbert,bivens-extension,,Egbert effectively collapsed the two-step into a single inquiry; any rational reason for deferring to Congress now bars extension. Bivens's core (4A in homes) survives; nearly all extensions fail.,egbert;test,true
roa-108,roa,4,Hernandez v. Mesa declined to extend Bivens to a cross-border shooting because:,The case presented a new context with foreign-relations special factors counseling hesitation,The Fourth Amendment does not apply extraterritorially,Mexico had jurisdiction over the underlying conduct,The plaintiff lacked Article III standing,a,hernandez,bivens-extension,,Hernandez applied the special-factors analysis; foreign-relations and national-security concerns weighed heavily against extension.,hernandez;extension,false
roa-109,roa,4,Correctional Services Corp. v. Malesko declined to extend Bivens to a private corporation operating a federal prison because:,Private corporations are not federal officers within the meaning of Bivens,Private corporations are entitled to absolute immunity from constitutional torts,The plaintiff had alternative remedies in state law and prison administrative procedures,Federal courts lack subject-matter jurisdiction over private actors,c,malesko,,,"Malesko found alternative remedies (state tort law, BOP administrative remedies) sufficient to defeat Bivens against private corporate operators.",malesko;private,false
roa-110,roa,4,Carlson v. Green extended Bivens to an Eighth Amendment medical-care claim by a federal inmate. The Court reasoned that the FTCA was insufficient because:,FTCA's exhaustion requirements unduly delayed recovery,"FTCA recovery is governed by state tort law, while Bivens damages provide uniform federal redress",FTCA does not permit recovery for constitutional torts,Congress had not yet enacted the FTCA at the time of suit,b,carlson,,,"Carlson distinguished FTCA (state-law-based, no punitives, sovereign-immunity wrinkles) from Bivens (uniform federal damages directly against officer).",carlson;ftca,false
roa-111,roa,2,Bivens supplies the federal cause of action for constitutional damages claims that § 1983 does not reach because § 1983:,Does not authorize money damages,Requires exhaustion of administrative remedies,Is limited to Fourth Amendment violations,"Reaches only persons acting under color of state law, not federal officers",d,bivens,,,§ 1983 reaches state actors; Bivens fills the federal-officer gap (subject to current narrow application).,bivens;1983,false
roa-112,roa,4,Schweiker v. Chilicky declined to extend Bivens to claims that SSA's denial of disability benefits violated due process. The Court reasoned that:,The plaintiffs had been fully compensated through SSA's procedures,"Due-process claims may only be brought against state, not federal, actors",Constitutional torts in benefits programs are categorically nonjusticiable,Congress's elaborate statutory remedial scheme demonstrated its intent that this be the exclusive remedy,d,,,,Schweiker rejected Bivens because Congress's comprehensive SSA scheme — even without compensatory damages for due-process violations — implied no judicially-created remedy.,schweiker;alternative,false
roa-113,roa,3,The four-factor test from Cort v. Ash for implied private rights of action included:,"Private right, public benefit, fit with comprehensive scheme, and judicial economy","Class benefited, legislative intent, fit with statutory purpose, and federalism considerations","Express text, agency interpretation, history of enforcement, and Congressional acquiescence","Necessity, particularity, redressability, and substantial federal interest",b,cort-ash,cort-ash,,Cort v. Ash's four-factor analysis: (1) plaintiff in benefited class; (2) legislative intent; (3) fit with purpose; (4) traditional state-law area. Largely supplanted by Sandoval.,cort-ash;factors,false
roa-114,roa,5,"A federal Border Patrol agent assaults an innkeeper, asserting authority over property near the Canadian border. The innkeeper sues under Bivens for First and Fourth Amendment violations. After Egbert v. Boule:",The claim succeeds for the Fourth Amendment but not the First,The claim succeeds because the conduct fits Bivens' core Fourth Amendment context,The claim almost certainly fails because any rational reason for Congressional preference defeats Bivens here,The claim depends on whether the FTCA applies extraterritorially to Border Patrol,c,egbert,bivens-extension,,Egbert dealt with this exact factual context and rejected Bivens. The 'rational reason' standard makes Bivens extensions effectively unavailable.,egbert;hypo,true
roa-115,roa,3,"Even after Egbert, federal courts retain authority to:",Issue equitable injunctive relief against federal officers' ongoing constitutional violations,Order federal-treasury damages payments without congressional authorization,Award Bivens damages in any 'special factors-free' case,Imply damages remedies under federal regulatory statutes,a,,,,"Bivens addresses damages; equitable relief against ongoing constitutional violations remains available under traditional equitable principles, separate from Bivens doctrine.",bivens;injunction,false
roa-116,roa,5,Wilkie v. Robbins declined to extend Bivens to a rancher's harassment claims against BLM officers. A central reason was:,Property-rights disputes are governed exclusively by state law,The rancher had not exhausted administrative remedies,The unworkability of an unconstitutional-retaliation Bivens action without a clear standard,Federal officers lack capacity to harass under federal law,c,wilkie,,,"Wilkie identified 'special factors' including administrability — a freestanding retaliation claim required courts to police any federal-officer conduct, an unworkable standard.",wilkie;extension,false
imm-101,imm,3,Hans v. Louisiana extended state sovereign immunity to suits by:,"A state's own citizens raising federal claims, despite the 11th Amendment's text addressing only out-of-state plaintiffs","Out-of-state citizens raising federal claims, consistent with 11A text",Foreign sovereigns raising any federal claim,Federal officers in their official capacity,a,hans,,,"Hans read 11A's penumbra to bar even in-state citizen federal claims, reasoning from the original presumption of state sovereign immunity.",hans;ssi,false
imm-102,imm,2,"A plaintiff sues a state's attorney general in federal court seeking an injunction against enforcement of a state statute alleged to violate the U.S. Constitution. Under Ex parte Young, this is:",Permitted only if Congress has expressly authorized the suit,Permitted only if the state has waived sovereign immunity,Barred by the 11th Amendment because the state is the real party in interest,Permitted because the suit seeks prospective relief against an officer alleged to be acting unconstitutionally,d,expaul,ex-parte-young,,Ex parte Young's officer-suit fiction permits prospective injunctive relief; an officer enforcing an unconstitutional law is stripped of state immunity for that purpose.,young;black-letter,false
imm-103,imm,3,Edelman v. Jordan distinguishes Ex parte Young from suits seeking:,Declaratory judgment about the state's federal-law obligations,Prospective compliance with federal law going forward,Injunctive relief against state officers in their personal capacities,Retroactive money damages payable from the state treasury,d,edelman,,,"Edelman: Young permits prospective relief but bars retroactive damages from state treasury, even when styled as compliance.",edelman;remedy,false
imm-104,imm,4,Pennhurst v. Halderman held that Ex parte Young does NOT permit:,Federal-court injunctive enforcement of state law against state officers,Federal-question suits against state officers,Damages claims against state officers in personal capacity,Class-action habeas claims,a,pennhurst,,,Pennhurst: federal courts cannot use Young to enforce state law against state officials — that would intrude on state sovereignty without supremacy-clause warrant.,pennhurst;young,false
imm-105,imm,3,"After Seminole Tribe v. Florida, Congress may abrogate state sovereign immunity:",Whenever it makes a clear statement,"Only under § 5 of the 14th Amendment, not under Article I commerce powers",Under any enumerated power so long as state interests are not unduly burdened,Only with consent of the Conference of Chief Justices,b,seminole,seminole-abrog,,Seminole Tribe held that Article I powers cannot abrogate SSI; § 5 of the 14th Amendment can (Fitzpatrick).,seminole;abrogation,true
imm-106,imm,4,Central Virginia Community College v. Katz upheld bankruptcy proceedings against state interests because:,Congress validly abrogated SSI under § 5 of the 14th Amendment,States consented to federal bankruptcy jurisdiction in the plan of the constitutional convention,The 11th Amendment does not address Article I bankruptcy,Bankruptcy is a public-rights matter outside state immunity,b,katz,plan-conv,,Katz reasoned that ratification of the Bankruptcy Clause implicitly waived state immunity for bankruptcy proceedings — the 'plan of convention' theory.,katz;plan-of-convention,false
imm-107,imm,4,Torres v. Texas Department of Public Safety extended the plan-of-convention reasoning to:,Suits enforcing the Spending Clause as applied to states,Suits enforcing the Equal Protection Clause directly,Suits enforcing federal employment protections under congressional war powers,Suits enforcing federal admiralty law against state actors,c,torres,plan-conv,,Torres held that states yielded sovereign immunity for war-power-based federal claims (USERRA) under the plan of convention.,torres;abrogation,false
imm-108,imm,2,Monroe v. Pape held that § 1983 reaches:,Only state officials acting within the scope of their authority,Federal officials acting jointly with state officials,"State officials acting under color of state law, even when violating state law",Only state officials in their official capacity,c,monroe,,,Monroe interpreted 'under color of' broadly to reach abuses of authority — the heart of § 1983 enforcement against rogue officers.,monroe;color,false
imm-109,imm,2,Monell v. NYC Department of Social Services held that a municipality is liable under § 1983:,Whenever an employee acts under color of municipal authority,Only in suits seeking injunctive relief,Only when the deprivation arises from a policy or custom — not under respondeat superior,Whenever the municipality fails to indemnify the offending employee,c,monell,monell-mun,,Monell's foundational rule: municipalities are 'persons' under § 1983 but liable only for policy/custom-based violations.,monell;municipality,false
imm-110,imm,3,Will v. Michigan State Police held that:,State officials are categorically immune from § 1983 personal-capacity suits,§ 1983 does not reach state-law claims,States and state agencies are not 'persons' under § 1983,State courts lack jurisdiction over § 1983 claims,c,will,,,"Will applied a clear-statement rule and concluded states/agencies aren't 'persons' for § 1983 damages, sidestepping 11A in the suit's framing.",will;person,false
imm-111,imm,3,Hafer v. Melo distinguished Will by holding that state officers sued in their personal capacity:,Are immune unless they exceeded their authority under state law,Are entitled to compensation from state treasury upon judgment,Are 'persons' under § 1983 even when their challenged acts were taken in office,May raise the state's sovereign immunity defense,c,hafer,,,"Hafer made personal-capacity suits viable: the official is the 'person' regardless of when conduct occurred, and the state's SSI does not transfer.",hafer;capacity,false
imm-112,imm,4,Health & Hospital Corp. v. Talevski (2023) held that:,Talevski overruled Gonzaga,Spending-Clause statutes can create rights enforceable under § 1983 when the text uses rights-creating language,Spending-Clause statutes never create § 1983-enforceable rights,Only Spending-Clause statutes that expressly permit private suits are § 1983-enforceable,b,talevski,sec1983-rights,,Talevski reaffirmed Gonzaga's rights-creating-language test and held that the Federal Nursing Home Reform Act met it; Spending-Clause origin is not categorically disqualifying.,talevski;1983,true
imm-113,imm,3,Harlow v. Fitzgerald replaced the prior subjective good-faith standard with:,An objective test: whether a reasonable officer would have known the conduct violated clearly established law,A purely procedural test focusing on whether qualified-immunity was raised early,A balancing test weighing the right's importance against enforcement costs,A categorical rule extending absolute immunity to all discretionary acts,a,harlow,harlow-qi,,Harlow's objective test — clearly established law a reasonable officer would have known — defines modern qualified immunity.,harlow;qi,false
imm-114,imm,3,Pearson v. Callahan modified Saucier v. Katz by holding that lower courts:,May decide either prong of the qualified-immunity inquiry first,Lack discretion to grant summary judgment on QI grounds before trial,Must defer to the prosecutor's good-faith assessment of clearly established law,Must always decide the constitutional question first,a,pearson,,,"Pearson made Saucier's mandatory two-step optional, allowing courts to skip the constitutional question if QI is otherwise clear.",pearson;qi,false
imm-115,imm,3,Prosecutors have absolute immunity for advocacy functions but only qualified immunity for investigative tasks. The line between them was articulated in:,Imbler v. Pachtman and Buckley v. Fitzsimmons,Saucier v. Katz and Pearson v. Callahan,Stump v. Sparkman and Pierson v. Ray,Harlow v. Fitzgerald and Anderson v. Creighton,a,imbler,,,Imbler established absolute prosecutorial immunity for advocacy; Buckley clarified that pre-charge investigative work falls outside that protection.,prosecutor;immunity,false
imm-116,imm,4,Trump v. United States (2024) held that the President's criminal immunity:,Is absolute for all conduct during the presidential term,Depends on whether the conduct was authorized by the Vice President,Does not exist; Presidents may be prosecuted for any act,Is absolute for core official acts and presumptive for other official conduct,d,trump-us,,,"Trump v. United States announced an absolute/presumptive structure for criminal immunity: absolute for core constitutional functions, presumptive for outer official conduct, none for unofficial acts.",trump;immunity,true
hab-101,hab,3,"Under AEDPA § 2254(d)(1), federal habeas relief from a state-court adjudication on the merits requires that the state decision was:","Erroneous, regardless of whether reasonable jurists could disagree",Contrary to or an unreasonable application of clearly established federal law,Based on an interpretation of state law inconsistent with federal precedent,Subject to plain-error review under federal procedural standards,b,williams-taylor,aedpa-2254d,,"§ 2254(d)(1) sets up a deferential 'contrary to / unreasonable application' standard, not de novo review.",aedpa;deference,true
hab-102,hab,4,Williams v. Taylor distinguished 'contrary to' from 'unreasonable application' as follows:,'Contrary to' is reviewed de novo; 'unreasonable application' is reviewed for clear error,The two prongs are functionally identical and should be treated as one,'Contrary to' applies to facts; 'unreasonable application' applies to law,'Contrary to' applies when the state court reached a conclusion opposite to clearly established law on materially indistinguishable facts; 'unreasonable application' applies when the state court correctly identified the rule but applied it unreasonably,d,williams-taylor,aedpa-2254d,,"Williams' canonical articulation of the AEDPA standards. 'Contrary to' = wrong rule or opposite outcome on indistinguishable facts. 'Unreasonable application' = right rule, unreasonable application.",williams;aedpa,false
hab-103,hab,4,Cullen v. Pinholster restricted federal habeas review under § 2254(d)(1) to:,"The federal-habeas record, including evidence developed in federal court","The combined state and federal records, with deference to state findings",The record before the state court at the time of its merits adjudication,Any record developed in subsequent state collateral review,c,pinholster,aedpa-2254d,,"Pinholster: when a state court adjudicated on the merits, federal § 2254(d)(1) review is limited to the state-court record, sharply curtailing new-evidence development.",pinholster;aedpa,false
hab-104,hab,3,Wainwright v. Sykes replaced Fay v. Noia's deliberate-bypass standard with:,AEDPA's deference standard,A discretionary 'interests of justice' test,A pure exhaustion requirement,A cause-and-prejudice standard for procedural defaults,d,wainwright,default-cause,,Wainwright tightened the procedural-default doctrine: petitioners must show external cause and actual prejudice (or a fundamental miscarriage gateway).,wainwright;default,false
hab-105,hab,4,Coleman v. Thompson held that attorney error in:,Direct appeal automatically constitutes cause for default,Capital sentencing automatically constitutes cause regardless of stage,"State collateral proceedings is generally not 'cause' for procedural default, because there is no constitutional right to counsel there",Federal habeas proceedings is cause for default of state-court issues,c,coleman-thomp,default-cause,,Coleman: no constitutional right to counsel in state collateral review means attorney error there isn't 'cause' (Martinez carved a narrow exception).,coleman;default,false
hab-106,hab,4,Martinez v. Ryan recognizes a narrow cause exception when:,State direct-review counsel failed to raise an issue on direct appeal,The petitioner was unrepresented during trial,The federal habeas court concludes the conviction was clearly erroneous,"A state requires an ineffective-assistance claim to be raised first on initial-review collateral, and counsel was ineffective there",d,martinez,default-cause,,"Martinez's narrow exception: where state procedural rules effectively make initial-review collateral the only forum for IATC claims, ineffective collateral-review counsel can be 'cause.'",martinez;exception,false
hab-107,hab,4,"Under Teague v. Lane, a 'new rule' is generally not applied retroactively on collateral review except for:",Rules announced by the Supreme Court (but not lower federal courts),Rules expressly designated retroactive by Congress,Any rule announced after the conviction became final,"Substantive rules placing certain conduct beyond the criminal law's reach, and rare watershed procedural rules",d,teague,teague-retro,,Teague's two narrow exceptions: substantive rules and watershed procedural rules. Watershed rules have been almost theoretical.,teague;retroactivity,false
hab-108,hab,4,Stone v. Powell bars federal habeas review of:,"Fourth Amendment exclusionary-rule claims, where the state provided a full and fair opportunity to litigate",Sixth Amendment claims raised for the first time on collateral review,Fifth Amendment self-incrimination claims after Miranda,All Fourth Amendment claims regardless of state-court procedure,a,stone-powell,,,Stone's narrow rule: Fourth Amendment exclusionary claims are not cognizable on habeas if the state provided full and fair litigation opportunity.,stone;4a,false
hab-109,hab,4,McQuiggin v. Perkins held that a credible actual-innocence showing:,"Requires DNA evidence, not just affidavits","Operates only to excuse procedural default, not the AEDPA SOL",Is unavailable as a gateway under modern habeas doctrine,Excuses AEDPA's one-year statute of limitations,d,mcquiggin,,,McQuiggin extended Schlup's actual-innocence gateway to AEDPA's SOL: a credible innocence claim equitably tolls the limitations period.,mcquiggin;innocence,false
hab-110,hab,4,Boumediene v. Bush held that:,Habeas is unavailable to non-citizens,The Detainee Treatment Act provides an adequate substitute for habeas in all cases,The Suspension Clause limits Congress's ability to strip habeas jurisdiction over Guantanamo detainees,The Suspension Clause has no extraterritorial reach,c,boumediene,,,"Boumediene held that Guantanamo detainees enjoy Suspension Clause-protected habeas, and the MCA's substitute review was inadequate.",boumediene;suspension,false
just-201,just,4,A federal employee files a § 1983-style suit alleging that her supervisor's general workplace policies harm 'all employees.' She does not allege any concrete consequence to herself. The strongest standing argument against her is:,She failed to exhaust administrative remedies before filing suit,Her supervisor enjoys absolute immunity under federal-employment law,Her injury is shared by all federal employees alike — a generalized grievance,The political question doctrine bars review of internal personnel matters,c,richardson,,,"Generalized grievances shared by the public (or here, all employees) lack the particularization Article III requires. The other options misframe the doctrinal hook.",standing;generalized,false
just-202,just,4,"During a class-action challenge to an unconstitutional probation policy, the named plaintiff completes probation. The class has not yet been certified. The court should:",Treat the class as automatically certified upon the named plaintiff's mootness,Dismiss the entire action as moot because the named plaintiff has no live claim,Order the state to identify a substitute plaintiff before considering certification,Apply 'relation back' principles and consider whether the dispute is capable of repetition yet evading review,d,laidlaw,,mootness,"Sosna and progeny: a moot named plaintiff's claim can 'relate back' to certification, especially where the dispute is short-duration and recurring (capable of repetition exception).",mootness;class,false
just-203,just,4,A national labor union files a pre-enforcement challenge against a new statute requiring members to disclose political contributions. No member has yet been prosecuted. The court should find the case ripe:,If members face a credible threat of prosecution that chills their First Amendment activity,Only after the first prosecution under the statute,Whenever the legal question is purely one of statutory interpretation,Only if the union can identify members who plan to violate,a,sba-driehaus,,ripeness,SBA List v. Driehaus permits pre-enforcement First Amendment challenges where credible threat plus chilling effect on protected conduct are alleged.,ripeness;chilling,false
just-204,just,3,"An environmental NGO sues on behalf of unnamed members alleging harm to a national park. To establish associational standing, the group must show:",Members would have standing in their own right; the interest is germane to the org's purpose; relief does not require individual member participation,"Each member has individually demonstrated injury, traceability, and redressability",The organization has incorporated and registered as a 501(c)(3),The membership has formally voted to authorize the litigation,a,,,,Hunt v. Washington Apple's three-prong test for associational standing. Individual injury showings are NOT required if all three Hunt factors are met.,associational-standing,false
